seq,lon,lat
611,20.594981,44.857978
612,20.623709,44.8546
613,20.636404,44.849433
614,20.638601,44.837348
615,20.628184,44.788601
616,20.62794,44.777045
617,20.633311,44.765204
618,20.64446,44.755805
619,20.671886,44.743964
620,20.684825,44.733507
621,20.720388,44.696234
622,20.741954,44.679226
623,20.763682,44.668402
624,20.826427,44.660956
625,20.88323,44.672675
626,20.989513,44.716824
627,21.07781,44.726508
628,21.102794,44.740668
629,21.112234,44.744818
630,21.125662,44.745632
631,21.15089,44.744086
632,21.163829,44.74787
633,21.172293,44.756903
634,21.179454,44.768093
635,21.188894,44.778266
636,21.222423,44.796698
637,21.26946,44.813666
638,21.319102,44.825059
639,21.360118,44.826687
640,21.37794,44.816921
641,21.395274,44.790473
642,21.411632,44.785102
643,21.496593,44.778266
644,21.557872,44.781846
645,21.577566,44.777899
646,21.594981,44.766181
647,21.603689,44.750312
648,21.609793,44.732204
649,21.619151,44.714179
650,21.655691,44.687934
651,21.7046,44.677273
652,21.756277,44.677517
653,21.801199,44.684149
654,21.83782,44.695421
655,21.854991,44.698757
656,21.871511,44.696234
657,21.961843,44.662543
658,21.993826,44.6588
659,22.003835,44.651719
660,22.031668,44.603583
661,22.039317,44.577094
662,22.044688,44.569403
663,22.055186,44.562364
664,22.06658,44.557481
665,22.075694,44.550971
666,22.086436,44.52204
667,22.10377,44.509874
668,22.12615,44.502956
669,22.147716,44.501166
670,22.171641,44.505642
671,22.184581,44.515408
672,22.298513,44.661933
673,22.304454,44.677598
674,22.319265,44.685614
675,22.360606,44.692328
676,22.380056,44.700751
677,22.414968,44.728095
678,22.425548,44.733913
679,22.450125,44.733222
680,22.468435,44.730414
681,22.483165,44.724229
682,22.552745,44.66946
683,22.586925,44.649604
684,22.620616,44.637722
685,22.699474,44.630886
686,22.714285,44.623358
687,22.764822,44.583075
688,22.7588,44.564887
689,22.74114,44.55211
690,22.718923,44.544623
691,22.699474,44.5421
692,22.677989,44.545722
693,22.641531,44.5633
694,22.620616,44.569403
695,22.599783,44.570095
696,22.579845,44.565741
697,22.565115,44.555732
698,22.559337,44.539008
699,22.556163,44.521674
700,22.547862,44.51199
701,22.534923,44.507758
702,22.499929,44.506659
703,22.490489,44.504462
704,22.483572,44.500027
705,22.479259,44.490668
706,22.476573,44.47724
707,22.476492,44.464179
708,22.479503,44.456081
709,22.500499,44.442165
710,22.504893,44.435248
711,22.50587,44.427802
712,22.503429,44.411933
713,22.504649,44.404324
714,22.522227,44.375312
715,22.548757,44.349229
716,22.582286,44.328681
717,22.620616,44.31623
718,22.662039,44.311957
719,22.681082,44.305528
720,22.688975,44.291938
721,22.684744,44.243923
722,22.690115,44.229193
723,22.905935,44.123114
724,22.942149,44.111762
725,22.987559,44.107245
726,23.030528,44.093329
727,23.039561,44.062608
728,23.022472,44.031846
729,22.987559,44.01789
730,22.96575,44.015733
731,22.926036,44.006415
732,22.905284,44.004218
733,22.885427,43.994737
734,22.874197,43.972276
735,22.850027,43.897244
736,22.850515,43.874579
737,22.862966,43.855658
738,22.888194,43.839789
739,22.919119,43.834499
740,23.131358,43.848212
741,23.161388,43.857611
742,23.196462,43.862982
743,23.233897,43.877509
744,23.324555,43.886827
745,23.324555,43.886827
746,23.326427,43.88703
747,23.319591,43.88703
748,23.324555,43.886827
749,23.324555,43.886827
750,23.484141,43.880805
751,23.592052,43.837673
752,23.635509,43.832384
753,23.720225,43.846055
754,23.742198,43.842963
755,23.79949,43.818712
756,24.158865,43.753201
757,24.357677,43.760281
758,24.374929,43.764106
759,24.430593,43.794379
760,24.46575,43.80268
761,24.499685,43.79975
762,24.705089,43.743964
763,24.752126,43.739081
764,24.963145,43.749864
765,25.081065,43.719184
766,25.210704,43.712104
767,25.251882,43.704901
768,25.288178,43.689276
769,25.322358,43.669949
770,25.358979,43.654486
771,25.402599,43.650336
772,25.425385,43.654608
773,25.466889,43.667996
774,25.488292,43.670762
775,25.533295,43.668972
776,25.556082,43.670681
777,25.574636,43.677598
778,25.593354,43.680935
779,25.615977,43.688015
780,25.637462,43.697577
781,25.653087,43.708319
782,25.670909,43.717597
783,25.739024,43.719184
784,25.780528,43.732245
785,25.803966,43.760199
786,25.805756,43.763943
787,25.838796,43.788642
788,25.868744,43.801134
789,25.916026,43.844591
790,25.924083,43.858913
791,25.933523,43.870551
792,26.053722,43.934597
793,26.061127,43.950019
794,26.078868,43.969265
795,26.115733,43.999091
796,26.150157,44.012722
797,26.230886,44.027777
798,26.309988,44.052843
799,26.613699,44.08515
800,26.647227,44.093614
801,26.667247,44.095323
802,26.67685,44.097357
803,26.696788,44.106309
804,26.708263,44.108344
805,26.753184,44.108344
806,26.788992,44.116238
807,26.883556,44.156806
808,27.001069,44.165351
809,27.026947,44.177314
810,27.09962,44.144721
811,27.205007,44.129462
812,27.226166,44.120917
813,27.266612,44.137763
814,27.292247,44.151435
