Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3004771,NTD_RAB2,COUNTRY,MLT,YEAR,EUR,Europe,,2018,,,,,,,,0,0.0,,,,2025-09-09T13:40:51.93+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
5069428,NTD_RAB2,COUNTRY,ISR,YEAR,EUR,Europe,,2024,,,,,,,,No data,,,,,2025-09-09T13:40:51.93+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
3440358,NTD_RAB2,COUNTRY,ARG,YEAR,AMR,Americas,,2022,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3466588,NTD_RAB2,COUNTRY,SUR,YEAR,AMR,Americas,,2014,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5227933,NTD_RAB2,COUNTRY,MHL,YEAR,WPR,Western Pacific,,2019,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
9080560,NTD_RAB2,COUNTRY,BLZ,YEAR,AMR,Americas,,2023,,,,,,,,0,0.0,,,,2026-07-15T14:04:38.643+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
2447743,NTD_RAB2,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,,2012,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4337252,NTD_RAB2,COUNTRY,JPN,YEAR,WPR,Western Pacific,,2020,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
4680365,NTD_RAB2,COUNTRY,USA,YEAR,AMR,Americas,,2016,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
8170107,NTD_RAB2,COUNTRY,MNE,YEAR,EUR,Europe,,2023,,,,,,,,No data,,,,,2025-09-09T13:40:51.93+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
4845125,NTD_RAB2,COUNTRY,MDV,YEAR,SEAR,South-East Asia,,2017,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
1594186,NTD_RAB2,COUNTRY,BDI,YEAR,AFR,Africa,,2023,,,,,,,,No data,,,,,2025-09-09T13:40:51.93+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
1652366,NTD_RAB2,COUNTRY,VCT,YEAR,AMR,Americas,,2010,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6705902,NTD_RAB2,COUNTRY,BTN,YEAR,SEAR,South-East Asia,,2022,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5155345,NTD_RAB2,COUNTRY,PRT,YEAR,EUR,Europe,,2015,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3637908,NTD_RAB2,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,,2020,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
5590847,NTD_RAB2,COUNTRY,VEN,YEAR,AMR,Americas,,2018,,,,,,,,0,0.0,,,,2024-06-03T07:26:23.447+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
7378630,NTD_RAB2,COUNTRY,GMB,YEAR,AFR,Africa,,2012,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
7596389,NTD_RAB2,COUNTRY,CPV,YEAR,AFR,Africa,,2010,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2899324,NTD_RAB2,COUNTRY,SLB,YEAR,WPR,Western Pacific,,2010,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
3242563,NTD_RAB2,COUNTRY,FSM,YEAR,WPR,Western Pacific,,2020,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
1861682,NTD_RAB2,COUNTRY,CPV,YEAR,AFR,Africa,,2022,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
1947615,NTD_RAB2,COUNTRY,DOM,YEAR,AMR,Americas,,2012,,,,,,,,5,5.0,,,,2024-06-03T07:26:23.447+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
8717295,NTD_RAB2,COUNTRY,BWA,YEAR,AFR,Africa,,2017,,,,,,,,No data,,,,,2024-06-03T07:26:23.447+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
8968436,NTD_RAB2,COUNTRY,GMB,YEAR,AFR,Africa,,2024,,,,,,,,No data,,,,,2025-09-09T13:40:51.93+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
